,省份,等级,地理分区,城市,City_en,Province_en
0,北京市,1,华北,北京市,Beijing,Beijing
1,重庆市,1,西南,重庆市,Chongqing,Chongqing
2,澳门,1,华南,澳门特别行政区,Macau,Macau
3,上海市,1,华东,上海市,Shanghai,Shanghai
4,天津市,1,华北,天津市,Tianjin,Tianjin
5,香港,1,华南,香港特别行政区,Hongkong,Hongkong
6,吉林省,2,东北,长春市,Changchun,Jilin
7,四川省,2,西南,成都市,Chengdu,Sichuan
8,辽宁省,2,东北,大连市,Dalian,Liaoning
9,广东省,2,华南,广州市,Guangzhou,Guangdong
10,浙江省,2,华东,杭州市,Hangzhou,Zhejiang
11,黑龙江省,2,东北,哈尔滨市,Harbin,Heilongjiang
12,山东省,2,华东,济南市,Jinan,Shandong
13,江苏省,2,华东,南京市,Nanjing,Jiangsu
14,浙江省,2,华东,宁波市,Ningpo,Zhejiang
15,山东省,2,华东,青岛市,Qingdao,Shandong
16,辽宁省,2,东北,沈阳市,Shenyang,Liaoning
17,广东省,2,华南,深圳市,Shenzhen,Guangdong
18,湖北省,2,华中,武汉市,Wuhan,Hubei
19,陕西省,2,西北,西安市,Xi‘an,Shaanxi
20,福建省,2,华东,厦门市,Xiamen,Fujian
21,辽宁省,3,东北,鞍山市,Anshan,Liaoning
22,内蒙古自治区,3,华北,包头市,Baotou,InnerMongolia
23,辽宁省,3,东北,本溪市,Benxi,Liaoning
24,湖南省,3,华中,长沙市,Changsha,Hunan
25,山西省,3,华北,大同市,Datong,Shanxi
26,辽宁省,3,东北,抚顺市,Fushun,Liaoning
27,福建省,3,华东,福州市,Fuzhou(Min),Fujian
28,贵州省,3,西南,贵阳市,Guiyang,Guizhou
29,海南省,3,华南,海口市,Haikou,Hainan
30,河北省,3,华北,邯郸市,Handan,Hebei
31,安徽省,3,华东,合肥市,Hefei,Anhui
32,内蒙古自治区,3,华北,呼和浩特市,Hohhot,InnerMongolia
33,安徽省,3,华东,淮南市,Huainan,Anhui
34,吉林省,3,东北,吉林市,Jilin,Jilin
35,云南省,3,西南,昆明市,Kunming,Yunnan
36,甘肃省,3,西北,兰州市,Lanzhou,Gansu
37,西藏自治区,3,西南,拉萨市,Lhasa,Tibet
38,河南省,3,华中,洛阳市,Luoyang,Henan
39,江西省,3,华中,南昌市,Nanchang,Jiangxi
40,广西壮族自治区,3,华南,南宁市,Naning,Guangxi
41,黑龙江省,3,东北,齐齐哈尔市,Qiqihar,Heilongjiang
42,河北省,3,华北,石家庄市,Shijiazhuang,Hebei
43,江苏省,3,华东,苏州市,Suzhou(Su),Jiangsu
44,山西省,3,华北,太原市,Taiyuan,Shanxi
45,河北省,3,华北,唐山市,Tangshan,Hebei
46,新疆维吾尔自治区,3,西北,乌鲁木齐市,Urumqi,Xinjiang
47,江苏省,3,华东,无锡市,Wuxi,Jiangsu
48,青海省,3,西北,西宁市,Xining,Qinghai
49,江苏省,3,华东,徐州市,Xuzhou,Jiangsu
50,宁夏回族自治区,3,西北,银川市,Yinchuan,Ningxia
51,河南省,3,华中,郑州市,Zhengzhou,Henan
52,山东省,3,华东,淄博市,Zibo,Shandong
53,四川省,4,西南,阿坝藏族羌族自治州,Ngawa,Sichuan
54,新疆维吾尔自治区,4,西北,阿克苏地区,Aksu,Xinjiang
55,西藏自治区,4,西南,阿里地区,Ngari,Tibet
56,新疆维吾尔自治区,4,西北,阿勒泰地区,Altay,Xinjiang
57,内蒙古自治区,4,华北,阿拉善盟,Alxa,InnerMongolia
58,陕西省,4,西北,安康市,Ankang,Shaanxi
59,安徽省,4,华东,安庆市,Anqing,Anhui
60,贵州省,4,西南,安顺市,Anshun,Guizhou
61,河南省,4,华中,安阳市,Anyang,Henan
62,吉林省,4,东北,白城市,Baicheng,Jilin
63,广西壮族自治区,4,华南,百色市,Baise,Guangxi
64,海南省,4,华南,白沙黎族自治县,Baisha,Hainan
65,吉林省,4,东北,白山市,Baishan,Jilin
66,甘肃省,4,西北,白银市,Baiyin,Gansu
67,河北省,4,华北,保定市,Baoding,Hebei
68,陕西省,4,西北,宝鸡市,Baoji,Shaanxi
69,云南省,4,西南,保山市,Baoshan,Yunnan
70,海南省,4,华南,保亭黎族苗族自治县,Baoting,Hainan
71,内蒙古自治区,4,华北,巴彦淖尔市,Bayannur,InnerMongolia
72,新疆维吾尔自治区,4,西北,巴音郭楞蒙古自治州,Bayingolin,Xinjiang
73,四川省,4,西南,巴中市,Bazhong,Sichuan
74,广西壮族自治区,4,华南,北海市,Beihai,Guangxi
75,安徽省,4,华东,蚌埠市,Bengbu,Anhui
76,贵州省,4,西南,毕节市,Bijie,Guizhou
77,山东省,4,华东,滨州市,Binzhou,Shandong
78,新疆维吾尔自治区,4,西北,博尔塔拉蒙古自治州,Bortala,Xinjiang
79,安徽省,4,华东,亳州市,Bozhou,Anhui
80,河北省,4,华北,沧州市,Cangzhou,Hebei
81,湖南省,4,华中,常德市,Changde,Hunan
82,新疆维吾尔自治区,4,西北,昌吉回族自治州,Changji,Xinjiang
83,海南省,4,华南,昌江黎族自治县,Changjiang,Hainan
84,山西省,4,华北,长治市,Changzhi,Shanxi
85,江苏省,4,华东,常州市,Chanzhou,Jiangsu
86,辽宁省,4,东北,朝阳市,Chaoyang,Liaoning
