,City,Annual Radiation,Radiation,Province_en,City_en
140,牡丹江市,1286.1948836495533,1286.19,Heilongjiang,Mudanjiang
141,七台河市,1291.861768462171,1291.86,Heilongjiang,Qitaihe
142,齐齐哈尔市,1365.8598544970137,1365.86,Heilongjiang,Qiqihar
143,双鸭山市,1303.4993105670403,1303.5,Heilongjiang,Shuangyashan
144,绥化市,1313.2912058317554,1313.29,Heilongjiang,Suihua
145,伊春市,1259.438355708607,1259.44,Heilongjiang,Yichun(Hei)
146,鄂州市,1284.9071003592355,1284.91,Hubei,Ezhou
147,恩施土家族苗族自治州,1115.1448407558864,1115.14,Hubei,Enshi
148,黄冈市,1307.9543675359448,1307.95,Hubei,Huanggang
149,黄石市,1267.0974240616515,1267.1,Hubei,Huangshi
150,荆门市,1250.7607333470394,1250.76,Hubei,Jingmen
151,荆州市,1246.0800632430364,1246.08,Hubei,Jingzhou
152,潜江市,1253.4637664337156,1253.46,Hubei,Qianjiang
153,神农架林区,1230.6501452913103,1230.65,Hubei,Shennongjia
154,十堰市,1276.8371069352831,1276.84,Hubei,Shiyan
155,随州市,1278.0921301151395,1278.09,Hubei,Suizhou
156,天门市,1260.737677564045,1260.74,Hubei,Tianmen
157,武汉市,1291.6897320818216,1291.69,Hubei,Wuhan
158,仙桃市,1267.0101451030532,1267.01,Hubei,Xiantao
159,咸宁市,1254.599705752034,1254.6,Hubei,Xianning
160,襄阳市,1251.4649470770185,1251.46,Hubei,Xiangyang
161,孝感市,1283.9804315307615,1283.98,Hubei,Xiaogan
162,宜昌市,1202.1233976911842,1202.12,Hubei,Yichang
163,常德市,1198.4146830966708,1198.41,Hunan,Changde
164,郴州市,1259.4383498038237,1259.44,Hunan,Chenzhou
165,衡阳市,1233.9965084456564,1234.0,Hunan,Hengyang
166,怀化市,1162.0585369264534,1162.06,Hunan,Huaihua
167,娄底市,1199.9600317568825,1199.96,Hunan,Loudi
168,邵阳市,1205.2561552320576,1205.26,Hunan,Shaoyang
169,湘潭市,1225.0731751471635,1225.07,Hunan,Xiangtan
170,湘西土家族苗族自治州,1113.4833486164457,1113.48,Hunan,Xiangxi
171,益阳市,1206.2914285722895,1206.29,Hunan,Yiyang
172,永州市,1236.7026848531016,1236.7,Hunan,Yongzhou
173,岳阳市,1250.9905937132476,1250.99,Hunan,Yueyang
174,张家界市,1141.8326678702729,1141.83,Hunan,Zhangjiajie
175,长沙市,1229.5622922363275,1229.56,Hunan,Changsha
176,株洲市,1251.8921075880264,1251.89,Hunan,Zhuzhou
177,白城市,1458.969644361175,1458.97,Jilin,Baicheng
178,白山市,1286.188214703634,1286.19,Jilin,Baishan
179,吉林市,1280.7890019264437,1280.79,Jilin,Jilin
180,辽源市,1341.418432201244,1341.42,Jilin,Liaoyuan
181,四平市,1390.9867997242654,1390.99,Jilin,Siping
182,松原市,1396.2950186338685,1396.3,Heilongjiang,Songyuan
183,通化市,1300.1007634518055,1300.1,Jilin,Tonghua
184,延边朝鲜族自治州,1283.5865168046455,1283.59,Jilin,Yanbian
185,长春市,1341.834485020477,1341.83,Jilin,Changchun
186,常州市,1359.5611977951694,1359.56,Jiangsu,Chanzhou
187,淮安市,1374.0212373770248,1374.02,Jiangsu,Huai’an
188,连云港市,1412.4003228525492,1412.4,Jiangsu,Lianyungang
189,南京市,1349.5319984312666,1349.53,Jiangsu,Nanjing
190,南通市,1363.9076093201936,1363.91,Jiangsu,Nantong
191,苏州市,1349.275343184142,1349.28,Jiangsu,Suzhou(Su)
192,宿迁市,1376.3053107152475,1376.31,Jiangsu,Suqian
193,泰州市,1378.9741372238686,1378.97,Jiangsu,Taizhou(Su)
194,无锡市,1353.0878013848194,1353.09,Jiangsu,Wuxi
195,徐州市,1381.2480111769148,1381.25,Jiangsu,Xuzhou
196,盐城市,1391.5416589969386,1391.54,Jiangsu,Yancheng
197,扬州市,1376.0460749303938,1376.05,Jiangsu,Yangzhou
198,镇江市,1365.131582242839,1365.13,Jiangsu,Zhenjiang
199,抚州市,1268.5421090494788,1268.54,Jiangxi,Fuzhou(Gan)
200,赣州市,1307.7921182639902,1307.79,Jiangxi,Ganzhou
201,吉安市,1248.2508853501874,1248.25,Jiangxi,Ji‘an
202,景德镇市,1304.8285047981767,1304.83,Jiangxi,Jingdezhen
203,九江市,1265.3793102088343,1265.38,Jiangxi,Jiujiang
204,南昌市,1290.579895523072,1290.58,Jiangxi,Nanchang
205,萍乡市,1234.1630292928055,1234.16,Jiangxi,Pingxiang
206,上饶市,1303.56306071549,1303.56,Jiangxi,Shangrao
207,新余市,1223.33461059082,1223.33,Jiangxi,Xinyu
208,宜春市,1237.069715379563,1237.07,Jiangxi,Yichun(Gan)
209,鹰潭市,1286.237913848254,1286.24,Jiangxi,Yingtan
210,鞍山市,1376.3289551199782,1376.33,Liaoning,Anshan
211,本溪市,1329.7801732774317,1329.78,Liaoning,Benxi
212,朝阳市,1496.9268763139191,1496.93,Liaoning,Chaoyang
213,大连市,1399.3397667611314,1399.34,Liaoning,Dalian
214,丹东市,1321.2899305103906,1321.29,Liaoning,Dandong
215,抚顺市,1339.886704762528,1339.89,Liaoning,Fushun
216,阜新市,1442.4023733398433,1442.4,Liaoning,Fuxin
217,葫芦岛市,1449.200364697953,1449.2,Liaoning,Huludao
218,锦州市,1421.8358060008077,1421.84,Liaoning,Jinzhou
219,辽阳市,1374.8067789290783,1374.81,Liaoning,Liaoyang
220,盘锦市,1402.6310102496227,1402.63,Liaoning,Panjin
221,沈阳市,1381.120059727822,1381.12,Liaoning,Shenyang
222,铁岭市,1374.1049013094344,1374.1,Liaoning,Tieling
223,营口市,1398.494905273438,1398.49,Liaoning,Yingkou
224,阿拉善盟,1748.1562128427724,1748.16,InnerMongolia,Alxa
225,巴彦淖尔市,1683.860949218749,1683.86,InnerMongolia,Bayannur
226,包头市,1615.0531786185968,1615.05,InnerMongolia,Baotou
227,赤峰市,1572.1260591486975,1572.13,InnerMongolia,Chifeng
228,鄂尔多斯市,1640.6299531866368,1640.63,InnerMongolia,Ordos
229,呼和浩特市,1567.738511930482,1567.74,InnerMongolia,Hohhot
230,呼伦贝尔市,1380.2864942181254,1380.29,InnerMongolia,Hulunbuir
231,通辽市,1514.7970410642608,1514.8,InnerMongolia,Tongliao
232,乌海市,1683.3071054484055,1683.31,InnerMongolia,Wuhai
